,SMOTE&Bagging,SMOTE,Bagging,Normal
0,0.569381818,0.435878788,0.585575758,0.435878788
1,0.519949797,0.495696868,0.528054028,0.495696868
2,0.581374939,0.502389078,0.58029254,0.502389078
3,0.790790289,0.754304472,0.788480119,0.754304472
4,0.781769985,0.74867956,0.784422779,0.74867956
5,0.783938445,0.783938445,0.783938445,0.783938445
6,0.415122176,0.374135546,0.412909175,0.374135546
7,0.662002841,0.565898945,0.668110795,0.565898945
8,0.840947413,0.829573452,0.835900447,0.829573452
9,0.805312627,0.805844757,0.806573544,0.805844757
10,0.803246485,0.805196148,0.796063748,0.805196148
11,0.800987096,0.751298134,0.80429798,0.751298134
12,0.645325203,0.636517615,0.650745257,0.636517615
13,0.611525629,0.470730968,0.670791629,0.470730968
14,0.686932387,0.661707162,0.683601784,0.661707162
15,0.655487608,0.656546336,0.663106142,0.656546336
AVE,0.684630921,0.642396017,0.690179011,0.642396017
